                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5316,                 1.1587,                 2.2072,                0.99431,                0.99578,                0.99217,                0.54678,                 1.5535,                0.91252,                 2.1434,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.4862,                 1.1881,                 2.2208,                0.98848,                0.99578,                0.99483,                0.67293,                 1.1753,                0.77132,                 1.9368,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4653,                 1.1114,                 2.1485,                0.98323,                0.98928,                 0.9947,                0.66319,                 1.1768,                 0.7428,                 1.9001,               0.001307,               0.001307,               0.001307
                     37,                 1.5162,                 1.1551,                 2.2327,                0.99959,                0.99578,                  0.995,                0.58102,                  1.327,                0.83656,                 2.0104,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4795,                 1.0933,                 2.1483,                0.99609,                0.99156,                  0.995,                0.67858,                 1.1566,                0.84181,                 1.8928,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.4305,                 1.0893,                 2.1065,                0.97932,                 0.9992,                0.99445,                 0.6474,                 1.2976,                0.83053,                  1.994,              0.0012476,              0.0012476,              0.0012476
                     40,                   1.45,                 1.0763,                  2.134,                0.99578,                      1,                  0.995,                0.69533,                 1.1432,                0.70698,                 1.8287,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4266,                 1.0189,                 2.1149,                0.99872,                      1,                  0.995,                0.68877,                 1.1508,                0.63959,                 1.8575,               0.001208,               0.001208,               0.001208
                     42,                 1.4578,                 1.0354,                 2.1149,                 0.9998,                0.99156,                  0.995,                0.66777,                 1.2088,                0.79412,                 1.8903,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4053,                0.99274,                 2.1064,                 0.9989,                      1,                  0.995,                0.70175,                 1.1099,                  0.741,                 1.8037,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3935,                0.95198,                 2.0647,                0.99441,                0.98312,                0.99467,                0.61888,                 1.4099,                 0.9867,                 2.0642,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3387,                 0.9731,                 2.0249,                0.98795,                0.98734,                0.99483,                0.69085,                 1.1684,                0.77817,                 1.8455,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3601,                0.99689,                 2.0726,                      1,                0.98985,                  0.995,                0.65727,                 1.2477,                0.69497,                 1.9132,               0.001109,               0.001109,               0.001109
                     47,                 1.3356,                0.94216,                 2.0397,                0.99526,                      1,                0.99496,                0.70279,                 1.0892,                 0.6916,                 1.7788,              0.0010892,              0.0010892,              0.0010892
