                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3204,                 1.0167,                 1.8096,                0.96005,                0.97641,                0.99016,                 0.6633,                 1.1361,                0.69751,                 1.7939,              0.0013466,              0.0013466,              0.0013466
                     35,                  1.311,                 1.0017,                 1.8145,                0.97018,                0.95485,                0.98988,                 0.6613,                 1.1524,                 0.7126,                 1.8374,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.298,                0.95434,                 1.7736,                0.96211,                0.97432,                 0.9891,                0.67522,                 1.1362,                0.66995,                 1.8474,               0.001307,               0.001307,               0.001307
                     37,                 1.2992,                0.93845,                 1.7632,                0.97301,                0.97646,                0.99197,                0.68035,                 1.1551,                0.59858,                 1.8326,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2907,                0.93182,                 1.7748,                0.97112,                0.96163,                0.98537,                 0.6806,                 1.0876,                0.61353,                 1.7607,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2831,                0.91462,                 1.7535,                 0.9769,                0.98646,                0.99341,                 0.6826,                 1.1175,                0.62661,                 1.7609,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2739,                0.91512,                 1.7263,                0.97018,                0.97968,                0.99153,                0.65503,                  1.236,                  0.664,                 1.8824,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.258,                0.90478,                 1.7435,                0.96847,                0.97075,                0.99323,                0.69501,                  1.124,                0.64313,                 1.7736,               0.001208,               0.001208,               0.001208
                     42,                 1.2762,                0.89853,                 1.7452,                 0.9801,                0.97517,                0.99155,                0.69079,                  1.114,                0.59035,                 1.7645,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2307,                0.89273,                 1.7033,                0.98185,                0.97709,                0.99337,                0.69761,                  1.115,                 0.5959,                 1.7634,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2568,                0.88388,                  1.717,                0.97743,                0.97754,                0.99156,                0.69789,                 1.0865,                0.54909,                  1.723,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2528,                0.87706,                 1.7184,                0.98189,                 0.9793,                0.99373,                0.71281,                 1.0596,                 0.5304,                  1.707,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2323,                0.86662,                 1.7084,                 0.9806,                0.98646,                0.99411,                 0.7004,                 1.0748,                0.59919,                  1.727,               0.001109,               0.001109,               0.001109
                     47,                 1.2599,                0.86959,                  1.712,                0.97763,                0.98639,                0.99366,                0.69969,                 1.0736,                0.54577,                  1.728,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2508,                0.85421,                 1.7045,                0.98868,                0.98618,                0.99443,                0.67043,                 1.1484,                0.54392,                 1.7889,              0.0010694,              0.0010694,              0.0010694
